1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
286	-0.334177	2.644323	1533.075066	0.000458	0.9
287	-0.369476	2.404942	1548.755014	0.000549	0.9
288	-0.364032	1.663455	1599.426093	0.000368	1.2
289	-0.397356	0.921973	1653.524565	0.000650	0.9
290	-0.353288	0.180752	1711.389736	0.000483	0.9
291	-0.383724	1.180751	1634.233265	0.000385	0.8
292	-0.346840	0.442790	1690.475957	0.000584	1.2
293	-0.386811	0.000000	1726.120067	0.000372	0.9
294	-0.337432	0.000000	1726.120067	0.000522	0.9
295	-0.361572	0.000000	1726.120067	0.000287	0.9
296	-0.330332	0.000000	1726.120067	0.000397	0.9
297	-0.361333	0.999877	1647.669273	0.000668	0.9
298	-0.327069	0.887748	1656.110167	0.000283	0.9
299	-0.335901	1.887713	1583.754610	0.000421	0.8
300	-0.328284	2.887105	1517.493284	0.000394	0.8
301	-0.361519	3.881877	1456.824241	0.000094	0.8
302	-0.373166	3.275332	1493.224536	0.000558	1.0
303	-0.348584	2.919535	1515.435891	0.000390	1.0
304	-0.337936	2.185457	1563.416310	0.000334	0.9
305	-0.340475	1.450198	1614.619224	0.000417	1.0
306	-0.346735	0.710236	1669.651186	0.000452	0.9
307	-0.349684	0.000000	1726.120067	0.000439	0.9
308	-0.369514	0.000000	1726.120067	0.000428	0.9
309	-0.343610	0.000000	1726.120067	0.000839	0.9
310	-0.373759	0.000000	1726.120067	0.000559	0.9
311	-0.377986	0.000000	1726.120067	0.000387	0.9
312	-0.357757	0.403600	1693.571224	0.000249	1.1
313	-0.355305	0.000000	1726.120067	0.000216	0.9
314	-0.370056	0.201232	1709.736551	0.000615	0.8
315	-0.343401	1.185023	1633.918611	0.000284	0.9
316	-0.366617	0.479557	1687.582367	0.000595	0.9
317	-0.363543	0.000000	1726.120067	0.000627	0.9
318	-0.353737	0.000000	1726.120067	0.000599	0.9
319	-0.339420	0.000000	1726.120067	0.000143	0.9
320	-0.365441	0.996312	1647.936281	0.000788	1.0
321	-0.360859	1.993331	1576.479792	0.000215	0.9
322	-0.344042	2.778731	1524.409415	0.000558	1.0
323	-0.347663	2.042586	1573.109966	0.000730	1.0
324	-0.373236	3.042586	1507.679818	0.000235	0.8
325	-0.367571	2.301388	1555.637832	0.000622	0.8
326	-0.347643	2.721261	1528.102632	0.000664	0.8
327	-0.344206	3.721023	1466.303444	0.000647	0.8
328	-0.343765	2.979536	1511.643978	0.000464	0.9
329	-0.352888	2.238049	1559.877990	0.000405	0.9
330	-0.367954	1.498523	1611.151135	0.000512	0.8
331	-0.368775	0.757040	1666.059412	0.000532	0.9
332	-0.346038	1.756961	1592.854244	0.000530	0.9
333	-0.365380	1.094683	1640.599316	0.000461	0.9
334	-0.344542	0.353196	1697.568920	0.000403	1.0
335	-0.377212	0.000000	1726.120067	0.000607	0.9
336	-0.371786	0.000000	1726.120067	0.000430	0.9
337	-0.363453	0.999003	1647.734715	0.000487	1.0
338	-0.380755	0.257521	1705.209283	0.000412	0.8
